rank,id,account,signal,event_date,source_url,label,service_hypothesis,source_type,ranking_score,model_word_cues,event_age_days,review_action
1,s06,Example Fir Counsel,Litigation team is evaluating how to handle a large document review before a newly scheduled production deadline.,2026-09-05,,,Managed review - verify need,synthetic demonstration; not a real lead,0.19875893174866224,production deadline; production; large; deadline; team,2,"Verify event, account and matter relevance; assign label 1 or 0"
2,s18,Example Reed Counsel,Court has entered a scheduling order with a near-term electronic document production deadline in a contract dispute.,2026-09-04,,,Processing / hosting - verify upcoming work,synthetic demonstration; not a real lead,0.1789618623377241,order; document production; production deadline; production; deadline,3,"Verify event, account and matter relevance; assign label 1 or 0"
3,s24,Example Yarrow Law,Trial team has an existing vendor but may need overflow document review if the upcoming collection is larger than expected.,2026-09-04,,,Overflow managed review - verify trigger,synthetic demonstration; not a real lead,0.11065853421047021,collection; team; review; document,3,"Verify event, account and matter relevance; assign label 1 or 0"
4,s20,Example Tamarack Pharma,Product liability discovery involves a large archive of email and technical records across several jurisdictions.,2026-09-05,,,Hosting / managed review - verify size,synthetic demonstration; not a real lead,0.08906101740615875,large; email; discovery,2,"Verify event, account and matter relevance; assign label 1 or 0"
5,s10,Example Juniper Transit,A regulatory inquiry requests internal emails and records from several company custodians.,2026-09-04,,,Collection / processing - verify request,synthetic demonstration; not a real lead,0.08593255131467589,emails; custodians,3,"Verify event, account and matter relevance; assign label 1 or 0"
6,s05,Example Elm Devices,Trade secret complaint alleges former employees copied company files to personal devices. Evidence collection is being planned.,2026-09-06,,,Digital forensics - verify scope,synthetic demonstration; not a real lead,0.07671039090564763,collection; alleges,1,"Verify event, account and matter relevance; assign label 1 or 0"
7,s12,Example Laurel Foods,"Class action discovery is scheduled to begin, with multiple locations expected to supply email and business records.",2026-09-05,,,Collection / managed review - verify volume,synthetic demonstration; not a real lead,0.048138699152621985,email; discovery,2,"Verify event, account and matter relevance; assign label 1 or 0"
8,s17,Example Quill Holdings,"Bankruptcy filing identifies several related businesses, but gives no detail about document review needs.",2026-09-01,,,Verify matter stage; bankruptcy alone is insufficient,synthetic demonstration; not a real lead,0.035599165534026894,review; document,6,"Verify event, account and matter relevance; assign label 1 or 0"
9,s14,Example Northstar Counsel,Several remote depositions are scheduled in a pending commercial matter. The notice does not identify the reporting vendor.,2026-09-03,,,Court reporting - verify arrangements,synthetic demonstration; not a real lead,0.029677788938278972,commercial,4,"Verify event, account and matter relevance; assign label 1 or 0"
10,s21,Example Umber Software,An old case study describes document review completed two years ago; there is no current matter update.,2024-09-01,,,Stale event; do not assume current need,synthetic demonstration; not a real lead,0.028587157774117057,review; document,736,"Verify event, account and matter relevance; assign label 1 or 0"
11,s13,Example Maple Retail,Retailer celebrates its anniversary with an employee picnic and public discount campaign.,2026-09-06,,,,synthetic demonstration; not a real lead,0.028115770747188927,employee,1,"Verify event, account and matter relevance; assign label 1 or 0"
12,s23,Example Willow Shipping,Company says a lawsuit was dismissed and no further discovery is expected in that matter.,2026-09-06,,,Closed matter - verify disposition,synthetic demonstration; not a real lead,0.026769605454568572,discovery,1,"Verify event, account and matter relevance; assign label 1 or 0"
13,s15,Example Oak Analytics,Investigation team needs to preserve employee laptops after a report of unauthorized data transfer.,2026-09-02,,,Digital forensics - verify preservation need,synthetic demonstration; not a real lead,0.011502722712613427,employee; team,5,"Verify event, account and matter relevance; assign label 1 or 0"
14,s11,Example Kestrel Builders,"Construction dispute involves drawings, scanned project records and change orders that must be organized for review.",2026-09-02,,,Processing / OCR - verify format,synthetic demonstration; not a real lead,0.011328013486485915,review,5,"Verify event, account and matter relevance; assign label 1 or 0"
15,s22,Example Vale Telecom,"News summary mentions a legal inquiry but provides no date, source document, or evidence requirements.",,,,Needs source verification,synthetic demonstration; not a real lead,0.009281926594783968,document,unknown,"Verify event, account and matter relevance; assign label 1 or 0"
16,s08,Example Hazel Systems,Complaint disputes software ownership and identifies messages in Slack and Microsoft Teams as evidence.,2026-09-03,,,Collection / hosting - verify scope,synthetic demonstration; not a real lead,-0.008988753228617363,No positive word contributions,4,"Verify event, account and matter relevance; assign label 1 or 0"
17,s07,Example Grove Energy,Company announces acquisition of a storage facility. No legal dispute or regulatory request is described.,2026-09-06,,,Check before treating as a discovery signal,synthetic demonstration; not a real lead,-0.0503626897505681,No positive word contributions,1,"Verify event, account and matter relevance; assign label 1 or 0"
18,s19,Example Spruce Partners,Firm promotes two transactional associates and publishes a general article about wills.,2026-09-03,,,,synthetic demonstration; not a real lead,-0.053203198825625686,No positive word contributions,4,"Verify event, account and matter relevance; assign label 1 or 0"
19,s09,Example Iris Regional,Law firm opens a new downtown office and posts photographs from its launch event.,2026-09-04,,,,synthetic demonstration; not a real lead,-0.05735001048870306,new,3,"Verify event, account and matter relevance; assign label 1 or 0"
20,s16,Example Pine Medical,Company posts routine quarterly financial results and announces a new product launch.,2026-09-05,,,,synthetic demonstration; not a real lead,-0.058401641321714895,new,2,"Verify event, account and matter relevance; assign label 1 or 0"
